START graph_IMDB_MULTI_structmae: Sun 21 Jun 2026 02:20:19 AM CST
COMMAND: /root/miniconda3/envs/graphmae/bin/python main_graph.py --dataset IMDB-MULTI --device 0 --use_cfg --mask_strategy structmae --structmae_beta 0.15 --structmae_score pagerank --structmae_iters 20 --structmae_damping 0.85 --seeds 0 1 2 3 4 5
2026-06-21 02:20:24,258 - INFO - Using best configs
------ Use best configs ------
Namespace(activation='prelu', alpha_l=1, attn_drop=0.1, batch_size=32, concat_hidden=False, dataset='IMDB-MULTI', decoder='gin', deg4feat=False, degree_mask_power=1.0, degree_mask_ratio=0.3, device=0, drop_edge_rate=0.0, encoder='gin', in_drop=0.2, linear_prob=True, load_model=False, logging=False, loss_fn='sce', lr=0.00015, lr_f=0.001, mask_rate=0.5, mask_strategy='structmae', max_epoch=50, max_epoch_f=30, negative_slope=0.2, norm='batchnorm', num_heads=2, num_hidden=512, num_layers=3, num_out_heads=1, optimizer='adam', pagerank_damping=0.85, pagerank_iters=20, pagerank_mask_ratio=0.25, pagerank_mask_steps=5, pooling='mean', replace_rate=0.0, residual=False, save_model=False, scheduler=False, seeds=[0, 1, 2, 3, 4, 5], structmae_beta=0.15, structmae_damping=0.85, structmae_iters=20, structmae_score='pagerank', use_cfg=True, warmup_steps=-1, weight_decay=0.0, weight_decay_f=0.0)
Using degree as node features
******** # Num Graphs: 1500, # Num Feat: 177, # Num Classes: 3 ********
####### Run 0 for seed 0

  0%|          | 0/50 [00:00<?, ?it/s]/root/miniconda3/envs/graphmae/lib/python3.8/site-packages/dgl/backend/pytorch/tensor.py:352: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  assert input.numel() == input.storage().size(), "Cannot convert view " \

Epoch 0 | train_loss: 0.5850:   0%|          | 0/50 [00:02<?, ?it/s]
Epoch 0 | train_loss: 0.5850:   2%|▏         | 1/50 [00:02<02:11,  2.69s/it]
Epoch 1 | train_loss: 0.3804:   2%|▏         | 1/50 [00:04<02:11,  2.69s/it]
Epoch 1 | train_loss: 0.3804:   4%|▍         | 2/50 [00:04<01:55,  2.41s/it]
Epoch 2 | train_loss: 0.3177:   4%|▍         | 2/50 [00:07<01:55,  2.41s/it]
Epoch 2 | train_loss: 0.3177:   6%|▌         | 3/50 [00:07<01:50,  2.35s/it]
Epoch 3 | train_loss: 0.2998:   6%|▌         | 3/50 [00:09<01:50,  2.35s/it]
Epoch 3 | train_loss: 0.2998:   8%|▊         | 4/50 [00:09<01:44,  2.26s/it]
Epoch 4 | train_loss: 0.2759:   8%|▊         | 4/50 [00:11<01:44,  2.26s/it]
Epoch 4 | train_loss: 0.2759:  10%|█         | 5/50 [00:11<01:38,  2.20s/it]
Epoch 5 | train_loss: 0.2612:  10%|█         | 5/50 [00:13<01:38,  2.20s/it]
Epoch 5 | train_loss: 0.2612:  12%|█▏        | 6/50 [00:13<01:38,  2.23s/it]
Epoch 6 | train_loss: 0.2561:  12%|█▏        | 6/50 [00:15<01:38,  2.23s/it]
Epoch 6 | train_loss: 0.2561:  14%|█▍        | 7/50 [00:15<01:34,  2.19s/it]
Epoch 7 | train_loss: 0.2566:  14%|█▍        | 7/50 [00:18<01:34,  2.19s/it]
Epoch 7 | train_loss: 0.2566:  16%|█▌        | 8/50 [00:18<01:32,  2.19s/it]
Epoch 8 | train_loss: 0.2370:  16%|█▌        | 8/50 [00:20<01:32,  2.19s/it]
Epoch 8 | train_loss: 0.2370:  18%|█▊        | 9/50 [00:20<01:30,  2.20s/it]
Epoch 9 | train_loss: 0.2433:  18%|█▊        | 9/50 [00:22<01:30,  2.20s/it]
Epoch 9 | train_loss: 0.2433:  20%|██        | 10/50 [00:22<01:28,  2.22s/it]
Epoch 10 | train_loss: 0.2331:  20%|██        | 10/50 [00:24<01:28,  2.22s/it]
Epoch 10 | train_loss: 0.2331:  22%|██▏       | 11/50 [00:24<01:26,  2.22s/it]
Epoch 11 | train_loss: 0.2251:  22%|██▏       | 11/50 [00:26<01:26,  2.22s/it]
Epoch 11 | train_loss: 0.2251:  24%|██▍       | 12/50 [00:26<01:22,  2.16s/it]
Epoch 12 | train_loss: 0.2164:  24%|██▍       | 12/50 [00:28<01:22,  2.16s/it]
Epoch 12 | train_loss: 0.2164:  26%|██▌       | 13/50 [00:28<01:18,  2.13s/it]
Epoch 13 | train_loss: 0.2095:  26%|██▌       | 13/50 [00:30<01:18,  2.13s/it]
Epoch 13 | train_loss: 0.2095:  28%|██▊       | 14/50 [00:30<01:17,  2.16s/it]
Epoch 14 | train_loss: 0.2059:  28%|██▊       | 14/50 [00:33<01:17,  2.16s/it]
Epoch 14 | train_loss: 0.2059:  30%|███       | 15/50 [00:33<01:15,  2.16s/it]
Epoch 15 | train_loss: 0.2055:  30%|███       | 15/50 [00:35<01:15,  2.16s/it]
Epoch 15 | train_loss: 0.2055:  32%|███▏      | 16/50 [00:35<01:11,  2.11s/it]
Epoch 16 | train_loss: 0.1993:  32%|███▏      | 16/50 [00:37<01:11,  2.11s/it]
Epoch 16 | train_loss: 0.1993:  34%|███▍      | 17/50 [00:37<01:10,  2.15s/it]
Epoch 17 | train_loss: 0.2010:  34%|███▍      | 17/50 [00:39<01:10,  2.15s/it]
