START graph_PROTEINS_pagerank_preserve_curriculum: Sun 21 Jun 2026 01:16:09 PM CST
COMMAND: /root/miniconda3/envs/graphmae/bin/python main_graph.py --dataset PROTEINS --device 0 --use_cfg --mask_strategy pagerank_preserve_curriculum --pagerank_mask_ratio 0.15 --pagerank_mask_steps 5 --pagerank_iters 20 --pagerank_damping 0.85 --pagerank_preserve_power 1.0 --seeds 0 1 2 3 4 5
2026-06-21 13:16:12,360 - INFO - Using best configs
------ Use best configs ------
Namespace(activation='prelu', alpha_l=1, attn_drop=0.1, batch_size=32, concat_hidden=False, dataset='PROTEINS', decoder='gin', deg4feat=False, degree_mask_power=1.0, degree_mask_ratio=0.3, device=0, drop_edge_rate=0.0, encoder='gin', in_drop=0.2, linear_prob=True, load_model=False, logging=False, loss_fn='sce', lr=0.00015, lr_f=0.001, mask_rate=0.5, mask_strategy='pagerank_preserve_curriculum', max_epoch=100, max_epoch_f=30, negative_slope=0.2, norm='batchnorm', num_heads=4, num_hidden=512, num_layers=3, num_out_heads=1, optimizer='adam', pagerank_damping=0.85, pagerank_iters=20, pagerank_mask_ratio=0.15, pagerank_mask_steps=5, pagerank_preserve_power=1.0, pooling='max', replace_rate=0.0, residual=False, save_model=False, scheduler=False, seeds=[0, 1, 2, 3, 4, 5], structmae_beta=0.25, structmae_damping=0.85, structmae_iters=20, structmae_score='pagerank', use_cfg=True, warmup_steps=-1, weight_decay=0.0, weight_decay_f=0.0)
Use node label as node features
******** # Num Graphs: 1113, # Num Feat: 3, # Num Classes: 2 ********
####### Run 0 for seed 0

  0%|          | 0/100 [00:00<?, ?it/s]/root/miniconda3/envs/graphmae/lib/python3.8/site-packages/dgl/backend/pytorch/tensor.py:352: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  assert input.numel() == input.storage().size(), "Cannot convert view " \

Epoch 0 | train_loss: 0.3804:   0%|          | 0/100 [00:01<?, ?it/s]
Epoch 0 | train_loss: 0.3804:   1%|          | 1/100 [00:01<02:23,  1.45s/it]
Epoch 1 | train_loss: 0.2900:   1%|          | 1/100 [00:02<02:23,  1.45s/it]
Epoch 1 | train_loss: 0.2900:   2%|▏         | 2/100 [00:02<01:52,  1.15s/it]
Epoch 2 | train_loss: 0.2714:   2%|▏         | 2/100 [00:03<01:52,  1.15s/it]
Epoch 2 | train_loss: 0.2714:   3%|▎         | 3/100 [00:03<01:47,  1.11s/it]
Epoch 3 | train_loss: 0.2689:   3%|▎         | 3/100 [00:04<01:47,  1.11s/it]
Epoch 3 | train_loss: 0.2689:   4%|▍         | 4/100 [00:04<01:42,  1.07s/it]
Epoch 4 | train_loss: 0.2693:   4%|▍         | 4/100 [00:05<01:42,  1.07s/it]
Epoch 4 | train_loss: 0.2693:   5%|▌         | 5/100 [00:05<01:37,  1.03s/it]
Epoch 5 | train_loss: 0.2638:   5%|▌         | 5/100 [00:06<01:37,  1.03s/it]
Epoch 5 | train_loss: 0.2638:   6%|▌         | 6/100 [00:06<01:35,  1.02s/it]
Epoch 6 | train_loss: 0.2665:   6%|▌         | 6/100 [00:07<01:35,  1.02s/it]
Epoch 6 | train_loss: 0.2665:   7%|▋         | 7/100 [00:07<01:32,  1.01it/s]
Epoch 7 | train_loss: 0.2647:   7%|▋         | 7/100 [00:08<01:32,  1.01it/s]
Epoch 7 | train_loss: 0.2647:   8%|▊         | 8/100 [00:08<01:28,  1.04it/s]
Epoch 8 | train_loss: 0.2623:   8%|▊         | 8/100 [00:09<01:28,  1.04it/s]
Epoch 8 | train_loss: 0.2623:   9%|▉         | 9/100 [00:09<01:27,  1.04it/s]
Epoch 9 | train_loss: 0.2609:   9%|▉         | 9/100 [00:10<01:27,  1.04it/s]
Epoch 9 | train_loss: 0.2609:  10%|█         | 10/100 [00:10<01:28,  1.01it/s]
Epoch 10 | train_loss: 0.2591:  10%|█         | 10/100 [00:11<01:28,  1.01it/s]
Epoch 10 | train_loss: 0.2591:  11%|█         | 11/100 [00:11<01:27,  1.01it/s]
Epoch 11 | train_loss: 0.2617:  11%|█         | 11/100 [00:12<01:27,  1.01it/s]
Epoch 11 | train_loss: 0.2617:  12%|█▏        | 12/100 [00:12<01:26,  1.02it/s]
Epoch 12 | train_loss: 0.2602:  12%|█▏        | 12/100 [00:13<01:26,  1.02it/s]
Epoch 12 | train_loss: 0.2602:  13%|█▎        | 13/100 [00:13<01:24,  1.03it/s]
Epoch 13 | train_loss: 0.2604:  13%|█▎        | 13/100 [00:14<01:24,  1.03it/s]
Epoch 13 | train_loss: 0.2604:  14%|█▍        | 14/100 [00:14<01:21,  1.05it/s]
Epoch 14 | train_loss: 0.2621:  14%|█▍        | 14/100 [00:14<01:21,  1.05it/s]
Epoch 14 | train_loss: 0.2621:  15%|█▌        | 15/100 [00:14<01:17,  1.10it/s]
Epoch 15 | train_loss: 0.2577:  15%|█▌        | 15/100 [00:15<01:17,  1.10it/s]
Epoch 15 | train_loss: 0.2577:  16%|█▌        | 16/100 [00:15<01:16,  1.09it/s]
Epoch 16 | train_loss: 0.2564:  16%|█▌        | 16/100 [00:16<01:16,  1.09it/s]
